comuna,ano,matriculas,tipo
SAN BERNARDO,2024,58961,escolar
SAN JOAQUÍN,2024,11810,escolar
SAN JOSÉ DE MAIPO,2024,2593,escolar
SAN MIGUEL,2024,26145,escolar
SAN PEDRO,2024,1894,escolar
SAN RAMÓN,2024,14643,escolar
SANTIAGO,2024,78079,escolar
TALAGANTE,2024,22392,escolar
TILTIL,2024,4102,escolar
VITACURA,2024,18491,escolar
ÑUÑOA,2024,37638,escolar
