comuna,ano,matriculas,tipo
SAN JOSÉ DE MAIPO,2019,749,parvulario
SAN MIGUEL,2019,4153,parvulario
SAN PEDRO,2019,424,parvulario
SAN RAMÓN,2019,4017,parvulario
SANTIAGO,2019,10293,parvulario
TALAGANTE,2019,4058,parvulario
TILTIL,2019,1034,parvulario
VITACURA,2019,2356,parvulario
ÑUÑOA,2019,5820,parvulario
ALHUÉ,2021,315,parvulario
BUIN,2021,4667,parvulario
CALERA DE TANGO,2021,1092,parvulario
CERRILLOS,2021,3200,parvulario
CERRO NAVIA,2021,4922,parvulario
COLINA,2021,8174,parvulario
CONCHALÍ,2021,5401,parvulario
CURACAVÍ,2021,1538,parvulario
EL BOSQUE,2021,8707,parvulario
EL MONTE,2021,1844,parvulario
ESTACIÓN CENTRAL,2021,5977,parvulario
HUECHURABA,2021,3770,parvulario
INDEPENDENCIA,2021,3408,parvulario
ISLA DE MAIPO,2021,1631,parvulario
LA CISTERNA,2021,3680,parvulario
LA FLORIDA,2021,13618,parvulario
LA GRANJA,2021,5770,parvulario
LA PINTANA,2021,8392,parvulario
LA REINA,2021,4065,parvulario
LAMPA,2021,5178,parvulario
LAS CONDES,2021,6038,parvulario
LO BARNECHEA,2021,4111,parvulario
LO ESPEJO,2021,3541,parvulario
LO PRADO,2021,3342,parvulario
MACUL,2021,4139,parvulario
MAIPÚ,2021,16607,parvulario
MARÍA PINTO,2021,579,parvulario
MELIPILLA,2021,5694,parvulario
PADRE HURTADO,2021,3203,parvulario
PAINE,2021,3561,parvulario
PEDRO AGUIRRE CERDA,2021,5070,parvulario
PEÑAFLOR,2021,3975,parvulario
PEÑALOLÉN,2021,8606,parvulario
PIRQUE,2021,1123,parvulario
PROVIDENCIA,2021,3288,parvulario
PUDAHUEL,2021,8069,parvulario
PUENTE ALTO,2021,21205,parvulario
QUILICURA,2021,8403,parvulario
QUINTA NORMAL,2021,5884,parvulario
RECOLETA,2021,6683,parvulario
RENCA,2021,6936,parvulario
SAN BERNARDO,2021,12334,parvulario
SAN JOAQUÍN,2021,3316,parvulario
SAN JOSÉ DE MAIPO,2021,696,parvulario
SAN MIGUEL,2021,3996,parvulario
SAN PEDRO,2021,474,parvulario
SAN RAMÓN,2021,3521,parvulario
SANTIAGO,2021,9678,parvulario
TALAGANTE,2021,3509,parvulario
TILTIL,2021,984,parvulario
VITACURA,2021,2344,parvulario
ÑUÑOA,2021,5869,parvulario
ALHUÉ,2020,333,parvulario
BUIN,2020,4722,parvulario
CALERA DE TANGO,2020,1195,parvulario
CERRILLOS,2020,3406,parvulario
CERRO NAVIA,2020,5423,parvulario
COLINA,2020,8672,parvulario
CONCHALÍ,2020,5992,parvulario
CURACAVÍ,2020,1572,parvulario
EL BOSQUE,2020,9394,parvulario
EL MONTE,2020,1945,parvulario
ESTACIÓN CENTRAL,2020,6303,parvulario
HUECHURABA,2020,4034,parvulario
INDEPENDENCIA,2020,3417,parvulario
ISLA DE MAIPO,2020,1782,parvulario
LA CISTERNA,2020,4007,parvulario
LA FLORIDA,2020,14731,parvulario
LA GRANJA,2020,6268,parvulario
LA PINTANA,2020,9417,parvulario
LA REINA,2020,4257,parvulario
LAMPA,2020,5226,parvulario
LAS CONDES,2020,5969,parvulario
LO BARNECHEA,2020,4161,parvulario
LO ESPEJO,2020,3660,parvulario
LO PRADO,2020,3594,parvulario
MACUL,2020,4285,parvulario
MAIPÚ,2020,17858,parvulario
MARÍA PINTO,2020,594,parvulario
MELIPILLA,2020,5631,parvulario
PADRE HURTADO,2020,3295,parvulario
PAINE,2020,3627,parvulario
PEDRO AGUIRRE CERDA,2020,5352,parvulario
PEÑAFLOR,2020,4219,parvulario
PEÑALOLÉN,2020,9697,parvulario
PIRQUE,2020,1163,parvulario
PROVIDENCIA,2020,3365,parvulario
PUDAHUEL,2020,8815,parvulario
PUENTE ALTO,2020,22288,parvulario
QUILICURA,2020,8773,parvulario
QUINTA NORMAL,2020,6236,parvulario
RECOLETA,2020,6792,parvulario
RENCA,2020,7311,parvulario
SAN BERNARDO,2020,12806,parvulario
SAN JOAQUÍN,2020,3470,parvulario
SAN JOSÉ DE MAIPO,2020,735,parvulario
SAN MIGUEL,2020,4086,parvulario
SAN PEDRO,2020,440,parvulario
SAN RAMÓN,2020,3718,parvulario
SANTIAGO,2020,9792,parvulario
TALAGANTE,2020,3690,parvulario
TILTIL,2020,1021,parvulario
VITACURA,2020,1783,parvulario
ÑUÑOA,2020,5752,parvulario
